wu,wr,wd,wl,au,ar,ad,al,aur,adr,aul,adl,dis,direction
476,268,124,332,1,0,0,0,,,,,140.05713120009278,2
476,276,124,324,1,0,0,0,,,,,132.06059215375342,2
476,284,124,316,1,0,0,0,,,,,124.06449935416659,2
476,292,124,308,1,0,0,0,,,,,116.06894502837527,2
476,300,124,300,1,0,0,0,,,,,108.07404868885037,2
476,308,124,292,1,0,0,0,,,,,100.07996802557443,2
476,316,124,284,1,0,0,0,,,,,92.0869154657707,2
476,324,124,276,1,0,0,0,,,,,84.09518416651456,2
476,332,124,268,1,0,0,0,,,,,76.10519036176179,2
476,340,124,260,1,0,0,0,,,,,68.11754546370561,2
476,348,124,252,1,0,0,0,,,,,60.13318551349163,2
476,356,124,244,1,0,0,0,,,,,52.15361924162119,2
476,364,124,236,1,0,0,0,,,,,44.181444068749045,2
476,372,124,228,1,0,0,0,,,,,36.22154055254967,2
476,380,124,220,1,0,0,0,,,,,215.0348808914498,0
468,372,132,228,1,0,0,0,,,,,203.7253052519495,0
460,364,140,236,1,0,0,0,,,,,192.4162155328911,0
452,356,148,244,1,0,0,0,,,,,181.10770276274835,0
444,348,156,252,1,0,0,0,,,,,169.799882214329,0
436,340,164,260,1,0,0,0,,,,,158.4929020492716,0
428,332,172,268,1,0,0,0,,,,,147.18695594379278,0
420,324,180,276,1,0,0,0,,,,,135.88230201170424,0
412,316,188,284,1,0,0,0,,,,,124.57929201917949,0
404,308,196,292,1,0,0,0,,,,,113.27841806805037,0
396,300,204,300,1,0,0,0,,,,,101.9803902718557,0
388,292,212,308,1,0,0,0,,,,,90.68627239003708,0
380,284,220,316,1,0,0,0,,,,,79.39773296511683,0
372,276,228,324,1,0,0,0,,,,,68.11754546370561,0
364,268,236,332,1,0,0,0,,,,,56.85068161420758,0
356,260,244,340,1,0,0,0,,,,,45.60701700396552,0
348,252,252,348,1,0,0,0,,,,,138.67948658687772,0
340,244,260,356,1,0,0,0,,,,,127.62444906835053,0
332,236,268,364,1,0,0,0,,,,,116.61903789690601,0
324,228,276,372,1,0,0,0,,,,,105.67875850898325,0
316,220,284,380,1,0,0,0,,,,,94.82615672903758,0
308,212,292,388,1,0,0,0,,,,,84.09518416651456,0
300,204,300,396,1,0,0,0,,,,,73.53910524340094,0
292,196,308,404,1,0,0,0,,,,,63.245553203367585,0
